Target,text,label
Legalization of Abortion,Societies that put to death the weak and vulnerable are more violent. #Nazis #streetgangs #Communists #AssistedSuicide #SemST,0
Legalization of Abortion,And gov't $ should never go to the largest corporation that murders little babies. Defund #SemST,0
Legalization of Abortion,it was her choice Mark! #profeminist #SemST,1
Legalization of Abortion,A #person's value is not determined by his #size. #prolifegen #prolifeyouth #SemST,0
Legalization of Abortion,The sanctity of human life is not a woman's issue. #antifeminism #SemST,0
Legalization of Abortion,"#ProLifeYouth have no chill, and we're dang proud of it. Human rights injustices should never be treated lightly. #prolifegen #SemST",0
Legalization of Abortion,Thanks Kudos to for caring about the safety of unborn children #auspol #SemST,0
Legalization of Abortion,You support #abortion? Never had an abortion? You'll still have to give account to your Creator for the taking of innocent life. #SemST,0
Legalization of Abortion,"#Hillary, Here's one Christian whose religion views will never ""adapt"" to include abortion. Abortion is murder. #SemST",0
Legalization of Abortion,MT Senate vote on SC Pain-Capable Unborn Child Protection Act could come as early as Wed. Contact your senators! #SemST,0
Legalization of Abortion,Consenting to sex is not consenting to being pregnant!!! Like!!! No!!!! #SemST,1
Legalization of Abortion,"And I explained that they are in the keep your baby business, as they helped me get Medicaid and WIC. #SemST",0
Legalization of Abortion,"Actually, child-murder is far worse these days. We live in more savage times. #SemST",0
Legalization of Abortion,"When Declaration of Independence was adopted, abortion was illegal in all 13 colonies. #txlege #SemST",0
Legalization of Abortion,Can we get a law for the little ones who can't even speak for themselves? #ProLifeYouth #EVERYLIFEMATTERS #gay #straight #baby #SemST,0
Legalization of Abortion,"We all have a duty to protect the sanctity of life...from the first cell division, to the last. #ProtectLife #pjnet #ctot #ccot #SemST",0
Legalization of Abortion,They know what's best for their health They know what's best for their happiness They know what's best for their well being.. #SemST,1
Legalization of Abortion,Now we just need to give women everywhere their rightful choice #SemST,1
Legalization of Abortion,12. something you hate. People who don't believe abortion should be kept safe and sterile. #SemST,1
Legalization of Abortion,Why are we all here? Because all of our mothers granted us the gift of life and did not abort us. All life has value. #ProLifeYouth #SemST,0
Legalization of Abortion,"During an abortion, something alive must become dead to be considered a successful abortion... #p2 #tcot #ChooseLife #Choice #SemST",0
Legalization of Abortion,For great is thy mercy toward me; & thou hast delivered my soul from an evil place. Amen #Christian #SemST,0
Legalization of Abortion,I will fight for the unborn! #SemST,0
Legalization of Abortion,"Size,Level of development, Environment,Degree of dependency do not affect a human's value. . A fetus is a human being #ProLifeYouth #SemST",0
Legalization of Abortion,Abortion is legal all nine months in Canada and in some parts of the USA. #ProLifeYouth #SemST,0
Legalization of Abortion,PRAYERS FOR BABIES Urgent prayer in Detroit MI ...two in San Diego CA&one in San Antonio Life begins at conception #SemST,0
Legalization of Abortion,These dems' lack of compassion for unborn babies who receive prenatal diagnoses is appalling #theyfeelpain #SemST,0
Legalization of Abortion,"#DefentThe8th? Why would I defend something that kills people? Remember #Savita, killed by Irish ""#prolife"" laws? #RepealThe8th #SemST",0
Legalization of Abortion,"thought it was just tissue"" #SemST",0
Legalization of Abortion,like i really need to walk past a bunch of aborted babies to get into the union. get out of my peripheral #SemST,0
Legalization of Abortion,"Your life, your body, your choice. #womenshealth #womensrights #SemST",1
Legalization of Abortion,Every1 needs 2 c & movie #TheRallyLA. It's life transforming. #drugs #forgive #SWBC2015 #Salvation #SemST,0
Legalization of Abortion,you can't say you support women's rights but be against abortion #SemST,0
Legalization of Abortion,"I think a woman should have the choice of what to do with HER BODY.. But, what do I know? Im only a woman sure #SemST",0
Legalization of Abortion,abortion clinics... back alleys with a profit center and air conditioning? #SemST,0
Legalization of Abortion,I would never expect an 11 year old girl to have to carry a pregnancy to term #SemST,1
Legalization of Abortion,"How can someone be calling for abortion in a speech and end it with ""God bless America""? #righttolife #SemST",0
Legalization of Abortion,Our #TruthTour continues in #CarletonPlace as we show the graphic truth of abortion 2 traffic & pedestrians! #ShowTheTruth #onpoli #SemST,0
Legalization of Abortion,u dont know using #NaturalFamilyPlanning will not have the same effect as birth spacing? #SemST,0
Legalization of Abortion,"Plenty of stem cells without baby smashing, by the way. #SemST",0
Legalization of Abortion,How can there be too many #children? That is like saying there are too many #flowers -Mother Teresa #prolifeyouth #SemST,0
Legalization of Abortion,Kudos to the mentality that believes people who are dumb enough to not use protection are 'mature enough' to take care of a baby. #SemST,1
Legalization of Abortion,PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN Life begins at conception #SemST,0
Legalization of Abortion,"Yea, let's make a woman suffer 18 years and raise a child with an unfit parent who hates it because of ""morality"". #SemST",1
Legalization of Abortion,"What a great 7 days to be an American, especially a Texan. #SCOTUS #LoveWins #Obamacare #SemST",1
Legalization of Abortion,And an even worse place from which to make medical decisions FOR OTHER PEOPLE #mybodymychoice #notyours #notgovt #SemST,1
Legalization of Abortion,Do nothing at all unless you begin with prayer. -St Ephraem the Syrian #SemST,0
Legalization of Abortion,What a great day to argue the benefits of making abortion legal #SemST,1
Legalization of Abortion,Of mothers advising their daughter's to abort are insane! It's unacceptable!! #Condoms #ItsNotOnItsNotSafe #SemST,0
Legalization of Abortion,"One, we are pro life Two, a little bit louder Three, I still can't hear you Four, more more moreYouth #SemST",0
Legalization of Abortion,"It's never been about ""life"" has it? ""#Prolife"" are OK with women dying. #SemST",0
Legalization of Abortion,Just owned a woman who works for planned parenthood. #factsonly #SemST,0
Legalization of Abortion,"When you abort a baby, you don't just abort one person ...you abort generations. #SemST",0
Legalization of Abortion,If being a mother's womb isn't safe I guess neither are churches; specifically black ones #WhoIsBurningBlackChurches #SemST,0
Legalization of Abortion,You will not #silence my message you will not mock my #God you will stop #killing my #generation.youth #SemST,0
Legalization of Abortion,"Abortionists refused to comply with these constitutional, common-sense standards. #NARAL #SemST",0
Legalization of Abortion,"#rally4life because if they don't want an abortion, then no one can have the choice #SemST",0
Legalization of Abortion,Abortion is genocide - I don't think you know what genocide means. #ygk #SemST,0
Legalization of Abortion,It should never ever be legal to have an abortion because murder is wrong & #AbortionIsMurder not #healthcare . We Must . #SemST,0
Legalization of Abortion,Will you be my #voice? -unborn babiesyouthgen #SemST,0
Legalization of Abortion,coffee out the nose or down the windpipe... next time... we're going for out the nose #thoughtiwasgonnadie #SemST,0
Legalization of Abortion,"""A nation that kills its own children has no future.(On Abortion) ~Bl. John Paul II #SemST",0
Legalization of Abortion,"Your body belongs to you. It doesn't belong to the church, the state or an embryo. #SemST",0
Legalization of Abortion,All babies are a blessing thank you for loving what you been preaching #SemST,0
Legalization of Abortion,you know what massively reduces abortion? Sex education and access to birth control. #SemST,1
Legalization of Abortion,Definitely the #SCOTUS today has landed where women are. #Texas #clinics #issues #SemST,1
Legalization of Abortion,"My body, my life. You fuck it up in a way I'm not prepared for and I will kill you. #SemST",1
Legalization of Abortion,But of course today one doesn't have to be responsible You can kill your child instead! #SemST,0
Legalization of Abortion,Equal pay for equal work? YES. Freedom from the fear of rape and sexual objectification? YES. The 'right' to abort? NO. #SemST,0
Legalization of Abortion,I can't stand people who are pro life because they had a stillborn or loss.... #SemST,1
Legalization of Abortion,"C7German: Heaven is our Goal, life is our conquest #socialmedia #technology #catholic #SemST",0
Legalization of Abortion,women being independent and making their own CHOICES #SemST,1
Legalization of Abortion,"Not your uterus, not your choice--from conception on, it really is THAT simple! #fem2gen #YesAllWomen #SemST",1
Legalization of Abortion,"#SignsYoureInTheUSA Doc can pull baby 3/4 way out of the womb, stick a knife in its head 2 kill the child & says its OK #SemST",0
Legalization of Abortion,And accepting with love any children arising from Union of marriage or at least taking responsibility for life created #SemST,0
Legalization of Abortion,"Basically this documentary is ""You kill babies so we're going to kill you"" Lol the irony of pro-lifers. #aftertiller #SemST",1
Legalization of Abortion,What are they doing with acid signs oh yeah their all tripping #lsd #SemST,0
Legalization of Abortion,"Typo - I meant to say ""dies"" - With every abortion least one human dies. #SemST",0
Legalization of Abortion,If being in a mother's womb isn't safe I guess neither are churches; specifically black ones #WhoIsBurningBlackChurches #SemST,0
Legalization of Abortion,"if they made it illegal, people would use coat hangers, and your photos would really be messed up. #letdoctorsdoit #SemST",1
Legalization of Abortion,Helping achieve repro. justice 1 step a time. #abfunds #love #compassion #abortionrights #nnaf #SemST,1
Legalization of Abortion,"And do not kill ur children for fear of poverty. We provide for them & for u. Indeed, their killing is ever a great sin. #Quran #SemST",0
Legalization of Abortion,"Im against abortion & i stand by my opinion. No, its NOT just a mass of cells. #SemST",0
Legalization of Abortion,Rock on girl! We all know #AbortionIsMurder. #SemST,0
Legalization of Abortion,"Some people are not ready for a child or they were even raped, and theres already too many kids who need adopting anyway #SemST",1
Legalization of Abortion,"Just a reminder, don't take your eyes off #SCOTUS yet #reprohealth is still on the line. #womensrights #ReproJustice #reprorights #SemST",1
Legalization of Abortion,"Abortion is on the wrong side of history: healers, inventors, artists, your wife, your husband, your best friend, all eliminated. #SemST",0
Legalization of Abortion,Don't see the big deal about all this #SemST,0
Legalization of Abortion,Dear #BristolPalin. STOP. Just FUCKING STOP. You have choices. It's called #abortion. Take it or leave it but quit whining. #fem2 #SemST,1
Legalization of Abortion,As a former fetus I oppose #ProlifeYouth #SemST,0
Legalization of Abortion,Solidarity with all at the counter #rally4life - Ireland won't be equal until women have full control of our bodies #repealthe8th #SemST,0
Legalization of Abortion,"Why is bacteria considered life on Mars, but a heartbeat is not considered life on earth? #heartbeat #SemST",0
Legalization of Abortion,"I'm against abortion, gay marriage, AND Donald Trump for President. #gaymarriage #DonaldTrump #SemST",0
Legalization of Abortion,Abortion Workers Charged with Manslaughter After Another Woman Dies From #SemST,0
Legalization of Abortion,Why don't black lives matter in the womb? #SemST,0
Legalization of Abortion,Thr r no rights w/o responsibilities. The rt 2 bodily autonomy comes w/ the responsibility 2 care 4 1's unborn child #ProLifeYouth #SemST,0
Legalization of Abortion,"#SB724 passes Sen. Judiciary Cmte.This bill is an effort to shame women out of their personal, private medical decision to have an #SemST",1
Legalization of Abortion,Who defends murder here? I haven't heard anyone defending the killing of human beings. #SemST,0
Legalization of Abortion,Would you rather have women taking dangerous concoctions to induce abortions or know they are getting a safe & legal one? #SemST,1
Legalization of Abortion,I don't either. Why would you want to make people have kids? Esp when they're not prepared? Makes no sense. #SemST,1
Legalization of Abortion,#ProLifeYouth if you are truly a feminist you would be fighting for the woman's life that is in the womb. #AllLivesMatter #SemST,0
Legalization of Abortion,What doesn't reduce abortions: -Making it illegal What does: -Sex education -Caring about the pregnant person... #SemST,1
Legalization of Abortion,On my bday I'm always so grateful to my bio parents who gave me up for #adoption #nochoiceisevereasy #SemST,0
Legalization of Abortion,Not so great for the women you want to force to give birth against their wills. #rapeculture #SemST,1
Legalization of Abortion,There's a gray area when it comes to abortion. We discuss the #legal & #ethical #dilemmas that #doctors & #patients face regarding #SemST,0
Legalization of Abortion,As much as they try the notion of ts the 21st century its killing a lot..... #SemST,0
Legalization of Abortion,"Sweat, killed and cut up his victim, extreme deadbeat parents do the same to innocent babies by abortion, #scotusabortion #SemST",0
Legalization of Abortion,Wish I could be at the #rallyforlife counter protest. Women are people. Fetuses are clumps of cells. End of story. #ireland #SemST,0
Legalization of Abortion,"Or another hypocrisy are those who campaign for animal rights but are ""pro choice"" . #SemST",0
Legalization of Abortion,I know! I'm the only perfect :-) candidate. #ProCivilLiberties #ProBusiness #ProWorker #ProPeace #SemST,0
Legalization of Abortion,"In so many ways to Christians right here in America we already ARE the ""Great Satan"" #GayMarriage #Drugs #WakeUpAmerica #SemST",0
Legalization of Abortion,Very important to #PrayTheRosary to #PrayforthePersecutedChurch & to #SemST,0
Legalization of Abortion,who is for it. I'm not. But am for a women's right to her own body. #SemST,1
Legalization of Abortion,Next time just keep the baby #SemST,0
Legalization of Abortion,I despair! I want grandchildren or are they a 'luxury item' #Catholic #SemST,0
Legalization of Abortion,Equal rights for all Except for the unborn?? #ycot #overturnRoe #SemST,0
Legalization of Abortion,Turning it into a racial thing kek #SemST,0
Legalization of Abortion,"the premeditated taking of an innocent human life is 1st degree murder, and you know it. #SemST",0
Legalization of Abortion,WH: Motherhood's a Wage Penalty. So we pay em to have kids & we pay em to kill premature babies. WTF's point here libs? #PJNET #SemST,0
Legalization of Abortion,Was at the planned parenthood protest in #fitchburg today with the image of Our Lady of America #catholic #SemST,0
Legalization of Abortion,When is abortion a responsible choice? When a woman chooses it to be #SemST,1
Legalization of Abortion,"It's great that same-sex marriage has been made legal, but how long will it take to make abortion illegal? #SemST",0
Legalization of Abortion,"Some babies die by chance, none should die by choice! #SemST",0
Legalization of Abortion,People aren't 'pro-life' they're 'pro-birth'. When a mother can't provide what happens then? #SemST,1
Legalization of Abortion,I watched #AfterTiller and it gave me a whole new perspective on a woman's right to choose. #womensRights #SemST,1
Legalization of Abortion,It very simple .. Let women choose.. #repealthe8th #notacriminal #SemST,1
Legalization of Abortion,Our #TruthTour cont' in the as we show the humanity of the unborn & inhumanity of abortion! #cdnpoli #Ottawa #onpoli #SemST,0
Legalization of Abortion,everyone should have the right to make their own reproductive choices & recieve safe medical treatment without stigma. #SemST,0
Legalization of Abortion,Save the Baby Humans! #WAAR #SemST,0
Legalization of Abortion,"#ProLifeYouth know that human life = human life, inside the womb or out. #SemST",0
Legalization of Abortion,If you want #Equality then let ALL the babies live!! #SemST,0
Legalization of Abortion,We must love our neighbor as being made in the image of God and as an object of His love. ~ Saint Vincent de Paul #SemST,0
Legalization of Abortion,Abortion is NOT illegal and I would never judge a woman for making that choice. #SemST,1
Legalization of Abortion,Hadn't seen October Baby until the other night. Had me crying thru the whole thing...I don't cry at movies. So touching! #adoption #SemST,0
Legalization of Abortion,If you planted a garden you don't pull out the plants before they have a chance to bear fruit. #SemST,0
Legalization of Abortion,"He's not concerned about women's health, it's all about control. Stay outta my lady parts, Mr. Patrick! #SemST",1
Legalization of Abortion,ur not aware that using #NaturalFamilyPlanning will have d same effect as birth spacing? #SemST,0
Legalization of Abortion,1/3 of my generation is missing. And it can't be changed. But we can change the future. #ProLifeYouth #SemST,0
Legalization of Abortion,The most disturbing thing we to this planet is to flood our streets with the #blood of #children from #HappyEarth... #SemST,0
Legalization of Abortion,"Also, abortion is wrong biblically and morally. Imagine never getting a chance to live your life. Think about where you are now. #SemST",0
Legalization of Abortion,do you mean Bristol? She was just being honest about her feelings - many can relate - hope they choose life too! #SemST,0
Legalization of Abortion,Adding to the progress of this week the Supreme Court is also allowing Texas abortion clinics to stay open! #SCOTUS #SemST,1
Legalization of Abortion,.@RebeccahLouise I'm not forcing anyone to do anything. Abortion is not 'medical help' & there are better options. Very proud to be #SemST,0
Legalization of Abortion,People who have been pregnant can be pro choice. People who can't have kids can be pro choice. People who have a uterus can be #SemST,1
Legalization of Abortion,YOU CAN'T HANDLE THE TRUTH! People will always do it no matter the laws. #letdoctorsdoit #SemST,1
Legalization of Abortion,"Yep. RT: ""Defunding PP won't mean fewer abortions. It will mean more dead women. #prochoice"" #1in3 #SemST",1
Legalization of Abortion,At the Mass. State House again tomorrow for Planned Parenthood's Sexual Health Lobby Day #ReproductiveJustice #Feminism #SemST,1
Legalization of Abortion,"In 1776 we killed the conservatives, freed ourselves from that crap #rightwing #Christian #ChurchState #Tyranny. #Uniteblue #tcot #SemST",0
Legalization of Abortion,She* knows what's best for her* happiness & her* body #SemST,1
Legalization of Abortion,Patient advocate Stephen Casey of Texas Center for Defense of Life strongly supports #HB3074. #TXlege #SemST,0
Legalization of Abortion,What is the difference between a baby and a onion? No one cries when you chop up the baby. Hahahahaha! Love dead babies! #Babies #SemST,1
Legalization of Abortion,How much do we really believe in equal rights for all mankind? #unborn #LoveWins #followthrough #SCOTUS #roevwade #science #SemST,0
Legalization of Abortion,Where did we get that right? When did we get that right- at conception? #antichoice #SemST,0
Legalization of Abortion,"""We're all human, aren't we? Every human life is worth the same, and worth saving."" -J.K. Rowling #... #SemST",0
Legalization of Abortion,"Keeping pregnant people safe is a great reason for abortion, though. #SemST",1
Legalization of Abortion,#SCOTUS blocking part of our Texas Anti-Abortion law. Maybe we should call them the Supreme Tyrant. #tcot #tgdn #SemST,0
Legalization of Abortion,Pro-Life Legislative Day Party in Lansing today! See y'all there! #sopumpedgen #SemST,0
Legalization of Abortion,"Sadly, most health insurance plans don't cover abortions, so the price can be quite high.... #SemST",1
Legalization of Abortion,This is the same reason it's sexist that we don't cover women's birth control. Any issue that primarily effects women is ignored #SemST,1
Legalization of Abortion,#ProLifeYouth know that life begins at conception. #SemST,0
Legalization of Abortion,...about the millions of aborted children? Lets fix this too #LoveWins #SemST,0
Legalization of Abortion,"Put into perspective: Est 32,000 rape-caused pregnancies/yr = 22x less than est 730,000 abortions/yr. #StrawMan #WarOnWomen #SemST",0
Legalization of Abortion,As long as they are allowed to show medically correct photos of contraception use at the family planning table #StopAbortion #SemST,0
Legalization of Abortion,#Humans have taken over the role of #God - #RachelDolezal #CaitlynJenner #SCOTUSMarriage #SemST,0
Legalization of Abortion,"We need more public funding for birth control, condoms and abortions, especially abortions. #budget2015 #Election2016 #SemST",1
Legalization of Abortion,The right to control one's body is not a license to kill.Youth #SemST,0
Legalization of Abortion,Plenty of reasons for Christians not to support Hillary. Not the least of which in my mind is her stand (w/Dems) on #SemST,0
Legalization of Abortion,"Hi while you are campaigning, 3000 innocent lives were killed by your pals #rednationrising #uniteblue #SemST",0
Legalization of Abortion,"Compromising on #sin gets easier as time goes on. Oh yeah, it didn't just start! #sexual-impurity #WakeUpAmerica #SemST",0
Legalization of Abortion,"Does a #pregnant #woman have 2 heads, 2 hearts, 4 arms, and 4 legs? #prolifeyouth #prolifegen #didntthinkso #SemST",0
Legalization of Abortion,I refuse to stop praying for an end to abortion. #SemST,0
Legalization of Abortion,"because it's not your baby, body or decision, nor does it effect your life in any way. So it's none of your business. #SemST",1
Legalization of Abortion,"I am a man, but I feel most qualified to make healthcare decisions for women. #ThingsYouDontSayAsAPolitician #SemST",0
Legalization of Abortion,"Yes, your reasoning is horrible. We were talking about abortion, not death. #SemST",1
Legalization of Abortion,forcing women to change their body's normal function is the epitome of controlling women. #SemST,0
Legalization of Abortion,d real question is. do u even research d side effects of abortion and contraceptives? #KnowYourFacts #SemST,0
Legalization of Abortion,"""Why does the government not hold a referendum on abortion?"" asks UN CESCR Mbr Pillay #UNIRL #SemST",0
Legalization of Abortion,#DonRients: people aren't just killed by guns. 9 people died and that's sad. But how many die daily from #abortion? #SemST,0
Legalization of Abortion,Assaulting & manipulating pregnant people doesn't reduce #SemST,1
Legalization of Abortion,Planned Parenthood lines its pockets while sacrificing women and children in need at the altar of abortion. #SemST,0
Legalization of Abortion,The #right to #life should be the #first among #humanrights -Pope Francisyouthgen #SemST,0
Legalization of Abortion,PRAYERS FOR BABIES Three babies in urgent need of prayer and intervention in Dallas TX And another in Montgomery AL #SemST,0
Legalization of Abortion,The Democrats just gave the most chilling reply when asked if they support aborting 7-pound babies #SemST,0
Legalization of Abortion,It hurts my 2 C ppl more offended over a flag/symbol than deaths/abortions of millions of innocent children! #flag #Mississippi #SemST,0
Legalization of Abortion,"whoa whoa whoa. I don't care about you having sex, but when you're pregnant, there's another life involved. #SemST",0
Legalization of Abortion,"Dear #SCOTUS, now that you deemed it constitutional to ""defend the rights of ALL people,"" can we get a ruling to abolish abortion? #SemST",0
Legalization of Abortion,The justification of abortion is rooted in selfishness & fear & they come from lack of faith & self centeredness #SemST,0
Legalization of Abortion,Murdering an unborn child is the crudest form of contraception! #Catholic #Christian #Conservative #feminist #SemST,0
Legalization of Abortion,A nation that kills its own children is a nation without hope. -Pope Saint John Paul II #ProLifeYouth #AllLivesMatter #SemST,0
Legalization of Abortion,I've noticed that everybody that is for Abortion has already been born-Ronald Reagan #LetthemLive #AllLivesMatter #SemST,0
Legalization of Abortion,#DailyWordsOfWisdom Pat's best Hell is for children still defines goverment #fostercare #adoption #SemST,0
Legalization of Abortion,People who want kids can b prochoice. U don't have to want an abortion to b prochoice. People who had a miscarriage can b prochoice #SemST,1
Legalization of Abortion,"A person's a person, no matter how small. - Dr. Suess #WAAR #SemST",0
Legalization of Abortion,"I was born 4 months premature... I'm perfectly fine, somehow killing babies is legal in this country. #SemST",0
Legalization of Abortion,"Everybody but the unborn, right? #SemST",0
Legalization of Abortion,"We declare that all people have worth and value even if the whole world calls them ""unwanted""! #SemST",0
Legalization of Abortion,Happy to hear the #SCOTUS blocked closing of 10 abortion clinics in TX until an appeal can be heard #safelegalrare #thinkprogress #SemST,1
Legalization of Abortion,They haven't eliminated #murder. They just call it by a different #name. #prolifeyouth #prolifegen #SemST,0
